prefix,vrf,tenant,site,vlan_group,vlan_vid,status,role,is_pool,description
10.14.248.0/24,npflan,,npflan,,,Active,,,AP-MGMT
10.14.250.0/24,npflan,,npflan,,,Active,Access,,CCTV
10.100.0.0/22,npflan,,npflan,,,Active,,True,gameserver rack 3
10.100.4.0/22,npflan,,npflan,,,Active,,,gameserver rack 6
10.100.8.0/22,npflan,,npflan,,,Active,,True,gameserver rack 7
10.100.103.0/24,npflan,,npflan,,100,Active,Server Net,,Public Rack #3
10.100.106.0/24,npflan,,npflan,,100,Active,Server Net,,Public Rack #6
10.100.107.0/24,npflan,,npflan,,100,Active,Server Net,,Public Rack #7
10.100.203.0/24,npflan,,npflan,,200,Active,Management Server,,Management Rack #3
10.100.206.0/24,npflan,,npflan,,200,Active,Management Server,,Management Rack #6
10.100.207.0/24,npflan,,npflan,,200,Active,Management Server,,Management Rack #7
10.100.255.0/24,npflan,,npflan,,,Active,Link Net,,Server Public-Private
10.100.255.0/30,npflan,,npflan,,,Active,Link Net,,TOR6-TOR7
10.100.255.4/30,npflan,,npflan,,,Active,Link Net,,TOR6-TOR3
10.100.255.8/30,npflan,,npflan,,,Active,Link Net,,TOR3-TOR7
10.100.255.12/30,npflan,,npflan,,,Active,Link Net,,TOR3-Duconet
10.222.11.0/24,npflan,,npflan,,,Active,Access,,VLAN 222 på Core 2
10.248.0.0/16,npflan,,npflan,,,Active,Wireless,,Wireless Networks
10.248.0.0/18,npflan,,npflan,npflan-vlans,250,Active,Wireless,,Wifi Crew & Management
10.248.64.0/18,npflan,,npflan,npflan-vlans,251,Active,Wireless,,Wireless Billet
10.248.128.0/18,npflan,,npflan,npflan-vlans,252,Active,Wireless,,Wireless Expo
10.248.192.0/18,npflan,,npflan,npflan-vlans,253,Active,Wireless,,Wireless Adm
10.250.11.0/24,npflan,,npflan,,,Active,Access,,Marketing - Vlan 11
10.250.12.0/24,npflan,,npflan,,,Active,Access,,Marketing - Vlan 12
10.250.13.0/24,npflan,,npflan,,,Active,Access,,Marketing - Vlan 13
10.250.14.0/24,npflan,,npflan,,,Active,Access,,Marketing - Vlan 14
10.250.15.0/24,npflan,,npflan,,,Active,Access,,Marketing - Vlan 15
10.250.16.0/24,npflan,,npflan,,,Active,Access,,Marketing - Vlan 16
10.250.17.0/24,npflan,,npflan,,,Active,Access,,Marketing - Vlan 17
10.250.18.0/24,npflan,,npflan,,,Active,Access,,Marketing - Vlan 18
10.250.248.0/24,npflan,,npflan,,,Active,,,AP-MGMT
10.250.250.0/24,npflan,,npflan,,,Active,Access,,CCTV
10.251.11.0/24,npflan,,npflan,,,Active,Access,,Dist E4 - Vlan 11
10.251.12.0/24,npflan,,npflan,,,Active,Access,,Dist E4 - Vlan 12
10.251.13.0/24,npflan,,npflan,,,Active,Access,,Dist E4 - Vlan 13
10.251.14.0/24,npflan,,npflan,,,Active,Access,,Dist E4 - Vlan 14
10.251.15.0/24,npflan,,npflan,,,Active,Access,,Dist E4 - Vlan 15
10.251.16.0/24,npflan,,npflan,,,Active,Access,,Dist E4 - Vlan 16
10.251.17.0/24,npflan,,npflan,,,Active,Access,,Dist E4 - Vlan 17
10.251.18.0/24,npflan,,npflan,,,Active,Access,,Dist E4 - Vlan 18
10.251.248.0/24,npflan,,npflan,,,Active,,,AP-MGMT
10.251.250.0/24,npflan,,npflan,,,Active,Access,,CCTV
10.252.11.0/24,npflan,,npflan,,,Active,Access,,
10.252.12.0/24,npflan,,npflan,,,Active,Access,,Dist E3 - Vlan 12
10.252.13.0/24,npflan,,npflan,,,Active,Access,,Dist E3 - Vlan 13
10.252.14.0/24,npflan,,npflan,,,Active,Access,,Dist E3 - Vlan 14
10.252.15.0/24,npflan,,npflan,,,Active,Access,,Dist E3 - Vlan 15
10.252.16.0/24,npflan,,npflan,,,Active,Access,,Dist E3 - Vlan 16
10.252.17.0/24,npflan,,npflan,,,Active,Access,,Dist E3 - Vlan 17
10.252.18.0/24,npflan,,npflan,,,Active,Access,,Dist E3 - Vlan 18
10.252.248.0/24,npflan,,npflan,,,Active,,,AP-MGMT
10.252.250.0/24,npflan,,npflan,,,Active,Access,,CCTV
10.253.11.0/24,npflan,,npflan,,,Active,Access,,Dist E2 - Vlan 11
10.253.12.0/24,npflan,,npflan,,,Active,Access,,Dist E2 - Vlan 12
10.253.13.0/24,npflan,,npflan,,,Active,Access,,Dist E2 - Vlan 13
10.253.14.0/24,npflan,,npflan,,,Active,Access,,Dist E2 - Vlan 14
10.253.15.0/24,npflan,,npflan,,,Active,Access,,Dist E2 - Vlan 15
10.253.16.0/24,npflan,,npflan,,,Active,Access,,Dist E2 - Vlan 16
10.253.17.0/24,npflan,,npflan,,,Active,Access,,Dist E2 - Vlan 17
10.253.18.0/24,npflan,,npflan,,,Active,Access,,Dist E2 - Vlan 18
10.253.248.0/24,npflan,,npflan,,,Active,,,AP-MGMT
10.253.250.0/24,npflan,,npflan,,,Active,Access,,CCTV
10.254.11.0/24,npflan,,npflan,,,Active,Access,,Dist E1 - Vlan 11
10.254.12.0/24,npflan,,npflan,,,Active,Access,,Dist E1 - Vlan 12
10.254.13.0/24,npflan,,npflan,,,Active,Access,,Dist E1 - Vlan 13
10.254.14.0/24,npflan,,npflan,,,Active,Access,,Dist E1 - Vlan 14
10.254.15.0/24,npflan,,npflan,,,Active,Access,,Dist E1 - Vlan 15
10.254.16.0/24,npflan,,npflan,,,Active,Access,,Dist E1 - Vlan 16
10.254.17.0/24,npflan,,npflan,,,Active,Access,,Dist E1 - Vlan 17
10.254.18.0/24,npflan,,npflan,,,Active,Access,,Dist E1 - Vlan 18
10.254.248.0/24,npflan,,npflan,,,Active,,,AP-MGMT
10.254.250.0/24,npflan,,npflan,,,Active,Access,,CCTV
